baths,beds,city,area,lotSize,price,sqFt,stories,yearBuilt,zipcode
2,4,Gulfport,Briars,,249900,2094,1,2006,39503
2,2,Gulfport,Legacy II Condominiums,173368,324900,1279,1,2005,39507
2,5,Gulfport,South Fork,23086,264900,2667,1,2001,39503
3,4,Gulfport,Great South Golf 2,,169900,2167,2,1985,39507
2,4,Gulfport,Cowan Road Homes,11325,149900,1720,1,1960,39507
2,3,Gulfport,Hunters Ridge,65340,87000,2016,,1996,39503
2,4,Gulfport,Cypress Pointe,,176900,1972,1,2004,39503
2.5,4,Gulfport,Stanton Place,,360000,3007,,2001,39503
2,2,Gulfport,Legacy II Condominiums,,249000,1298,1,2006,39507
2,3,Gulfport,Northwood Hills,,215000,1780,1,1974,39503
2.5,4,Gulfport,Stanton Place,,365000,2907,1.5,1999,39503
3.5,4,Gulfport,Brighton Place,,420000,3450,,1995,39503
2.5,3,Gulfport,Turtle Creek,17859,185000,1652,1,2011,39503
3,4,Gulfport,Camelot Estates,,229900,2117,1,2007,39503
2.5,4,Gulfport,Crystal Lake,16117,286385,1851,1,2023,39503
1,2,Gulfport,Garys East Side,6969,35700,672,,1955,39501
2,3,Gulfport,Country Hills,,142900,1354,1,2003,39503
2,3,Gulfport,Crystal Well,,162500,1558,1,2002,39503
2,3,Gulfport,Northwood Hills,,169900,1489,2,1978,39503
2,3,Gulfport,Northridge,,159000,1781,1,1994,39503
2,3,Gulfport,Metes And Bounds,43560,183750,2177,1,2003,39503
4,8,Gulfport,Metes And Bounds,,270000,3120,,1984,39501
2,3,Gulfport,Meadowbrook,,160000,1463,,2003,39503
2,3,Gulfport,Metes And Bounds,,179911,1745,1,1948,39501
2.5,4,Gulfport,Wind Rose,15681,279900,3248,2,2007,39503
2,3,Gulfport,Retreat Village,,80000,1440,,1971,39503
2,3,Gulfport,Northwood Hills,18295,125000,1426,1,1977,39503
1,3,Gulfport,North Gulfport,,39000,1300,,1955,39501
1,2,Gulfport,Gulfport Heights,,34900,576,1,1955,39501
1,3,Gulfport,Mcalpin,,49000,836,,1920,39501
6,6,Gulfport,Gulf & Ship Island Dev. Co.,18295,259000,3379,1,1968,39503
2,4,Gulfport,Highland,,171000,1755,1,2003,39503
2,2,Gulfport,Gulf Gardens,,139500,1418,1,1927,39501
2,3,Gulfport,Fox Run,7840,129900,1269,1,1985,39503
2,3,Gulfport,Crystal Lake,,174900,1485,1,2017,39503
2,3,Gulfport,Metes And Bounds,14374,260000,2109,,1972,39503
1.5,3,Gulfport,Pine Hills,,63000,980,1,1970,39503
1.5,4,Gulfport,Bel-Aire,9583,51600,1040,1,1968,39503
2,3,Gulfport,Loren D Estates,10018,129000,1224,1,2007,39503
2,3,Gulfport,Oakleigh Manor,,189900,1778,2,1968,39503
2,3,Gulfport,Legacy Villas,,225000,1691,1,2001,39507
2,2,Gulfport,Legacy II Condominiums,,232000,1164,1,2006,39507
2.5,3,Gulfport,Windance,,319900,2568,,1997,39503
2,3,Gulfport,Azalea Trace,9583,177900,1842,1,2005,39503
2,4,Gulfport,Northwood Hills,,146888,1468,1,1980,39503
1.5,3,Gulfport,Olivet,,89900,1250,1,1978,39503
2,2,Gulfport,Legacy II Condominiums,,287500,1069,1,2006,39507
1.5,3,Gulfport,Brentwood,8712,158000,1365,1,1973,39503
3,3,Gulfport,Sienna On The Coast Condo,,364900,1854,,2007,39507
2,4,Gulfport,Owen Place,,69900,1000,,1965,39501
2,4,Gulfport,Northwood Hills,,163000,2000,1,1995,39503
4.5,5,Gulfport,Hillcrest,,1500000,5602,1,2006,39503
2,4,Gulfport,Turtle Creek,,159900,1313,1,2018,39503
1,3,Gulfport,Cowan Road Homes,,86000,1170,1,1959,39507
3.5,5,Gulfport,Walker Farm,16117,200000,3442,2,2010,39503
2,3,Gulfport,Canal Crossing,,174900,1482,1,2012,39503
2,3,Gulfport,Metes And Bounds,,319900,1561,1,2020,39501
2.5,4,Gulfport,Windance West,,232500,2306,1,2017,39503
2,3,Gulfport,Crystal Lake,,199500,1921,1,2008,39503
,,Gulfport,Gulfport Heights,,124900,2164,,2008,39501
2,3,Gulfport,June Savannah,,139900,1370,1,1999,39503
2,3,Gulfport,Broad Acres,20473,126500,1818,1,1978,39501
2,3,Gulfport,Fairfield,6969,93000,1461,1,1987,39503
2,4,Gulfport,Legacy II Condominiums,,299000,1743,,2006,39507
2,3,Gulfport,Metes And Bounds,87120,29911,1176,,1997,39503
2,2,Gulfport,Gulf Gardens,,129000,1267,1,1945,39501
2,4,Gulfport,Metes And Bounds,255697,290000,2632,,2000,39503
2,3,Gulfport,Metes And Bounds,91476,140000,1320,,2003,39503
3.5,5,Gulfport,Metes And Bounds,47916,324900,3729,,1999,39503
